Product Name,Product Link,Image URL,Deal,Price,Original Price,Discount
Women Flats Sandal,https://www.flipkart.com/ravis-women-flats/p/itmd7b1064c97458?pid=SNDFVNHU9HCVBN4Y&lid=LSTSNDFVNHU9HCVBN4YHARJDB&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_27&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxqYNJgcRk5cKf-Jr3u2Llcy4K5sgGNwQOKWePmtSt2S3Q%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/x/r/i/5-flat-butterfly01-5-ravis-grey-original-imah5yhvctjkw9vg.jpeg?q=70,Hot Deal,₹281,₹699,59% off
Women Flats Sandal,https://www.flipkart.com/stylestry-women-flats/p/itm514cc1d9f8177?pid=SNDGPGPSWCZZTPAE&lid=LSTSNDGPGPSWCZZTPAEWMI1VG&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_28&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxp1H9mVuuiKGQz9KAB3viL5BtqsjHzonMXEZJEbH9hTDw%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/m/t/t/4-flat-730-shoetopia-white-original-imagzzqnfqsqmpgj.jpeg?q=70,Only few left,₹647,"₹1,999",67% off
Women Flats Sandal,https://www.flipkart.com/flying-sam-women-flats/p/itmc536c1ac60f6e?pid=SNDHFXKSHQHS5TJS&lid=LSTSNDHFXKSHQHS5TJSOVDTZX&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_29&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDHFXKSHQHS5TJS.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/w/p/z/7-201-black-7-flying-sam-black-original-imah72byzhxbq74d.jpeg?q=70,Only few left,₹279,₹999,72% off
Women Flats Sandal,https://www.flipkart.com/hillings-women-flats/p/itma15ebc389a7ba?pid=SNDGE9RCPFCD7EZV&lid=LSTSNDGE9RCPFCD7EZVJRIMEM&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_30&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGE9RCPFCD7EZV.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/l30hmkw0/sandal/n/x/i/7-badal-hillings-black-original-image8aygxrbgtqq.jpeg?q=70,Hot Deal,₹212,₹599,64% off
Women Flats Sandal,https://www.flipkart.com/asian-women-flats/p/itm6a2c96b5b991b?pid=SNDHAW3ZYYYW4DHN&lid=LSTSNDHAW3ZYYYW4DHNF0OZ9X&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_31&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxo3Td7cwxu1MTQvpjj0iLf3EPsl0qnq9fpitGBUCmWvdJ2-SIbIDZ6lLvgRS75Tj4w%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/l/l/o/7-femina-01-asian-pista-original-imahaw3mz9cgfjrf.jpeg?q=70,Only few left,₹719,₹999,28% off
Women Flats Sandal,https://www.flipkart.com/ravis-women-flats/p/itme4f9f73312bf8?pid=SNDGZFMFGB5YZTYY&lid=LSTSNDGZFMFGB5YZTYYE7RHAD&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_32&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxq1KSSWnYacxzB-V1JLPzdUfQR3SvItCFg6W_Qy1BifLw%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/p/s/b/8-double-frill-sliper-8-ravis-grey-original-imah5f5pfsvcmcmu.jpeg?q=70,Only few left,₹472,"₹1,299",63% off
Women Presents Collection Of Ethnic Wear Kolhapuri Flat...,https://www.flipkart.com/x-xiota-presents-collection-ethnic-wear-kolhapuri-flats-girl-women-ladies-women/p/itmd63bb321a594e?pid=SNDGH62HPSZGTTRX&lid=LSTSNDGH62HPSZGTTRXJXPU0E&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_33&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGH62HPSZGTTRX.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/l59xq4w0/slipper-flip-flop/9/g/h/5-c-5-realtoes-grey-original-imagfzk7w7ppueg6.jpeg?q=70,Only few left,₹261,₹999,73% off
Women Flats Sandal,https://www.flipkart.com/heighten-women-flats/p/itm7bd6b799fd493?pid=SNDGQUK5HRFJEWQQ&lid=LSTSNDGQUK5HRFJEWQQ2U4S0S&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_34&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGQUK5HRFJEWQQ.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/o/i/e/8-411-heighten-white-original-imagquk58ya3vvqm.jpeg?q=70,Only few left,₹283,"₹1,299",78% off
Women Flats Sandal,https://www.flipkart.com/asian-women-flats/p/itmda81f7f680c41?pid=SNDHBY9RPACE8HGN&lid=LSTSNDHBY9RPACE8HGNOCYVRO&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_35&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxoZ0LpevdWcu1u-WtHzgDIaZ0ccMXHqjuydo5MUYq-aaQAlvNo-tguW1XjLLiPm_o8%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/k/3/7/5-femina-09-asian-baby-pink-original-imahaz2sxqxksmgk.jpeg?q=70,"Buy 2 items, save extra 5%",₹489,₹699,30% off
Women Flats Sandal,https://www.flipkart.com/heighten-women-flats/p/itm8d9c86c84d600?pid=SNDGGE4NMERJMADJ&lid=LSTSNDGGE4NMERJMADJNVLVK9&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_36&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGGE4NMERJMADJ.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/q/g/f/8-fz-325-beige-41-heighten-beige-original-imagghqhjzfwukrf.jpeg?q=70,Lowest price in the year,₹286,"₹1,299",77% off
