Product Name,Product Link,Image URL,Deal,Price,Original Price,Discount
Women Slippers,https://www.flipkart.com/ketikoe-women-slippers/p/itm83b0f25190ee1?pid=SFFH4NA8EJEHGZNG&lid=LSTSFFH4NA8EJEHGZNGD0Y6DB&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&spotlightTagId=default_TrendingId_osp%2Fiko%2Fiz7&srno=b_1_36&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFH4NA8EJEHGZNG.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/v/u/y/-original-imagyxrfv69cyzum.jpeg?q=70,Only few left,₹231,₹639,63% off
NewlyLaunch|Classic Ultra Soft|Cushion|Comfortable|Prem...,https://www.flipkart.com/doctor-health-super-soft-women-newlylaunch-classic-ultra-soft-cushion-comfortable-premium-stylish-slides/p/itmf4f996abee45f?pid=SFFH9M6MXDZFSWNF&lid=LSTSFFH9M6MXDZFSWNFH8ZVFP&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_38&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=en_qI1wNzi0v2jzrbUhxuIJbMXl1-GfcK2rdCBn4P2NuNQfQ_Pe64bvtU_8z8nwd0_iC7KexfYf_ouhiXUTdJ5kpQ%3D%3D&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/u/p/k/9-freya-pink-deals4you-white-original-imah3y5wn9ryyyks.jpeg?q=70,Hot Deal,₹269,₹999,73% off
|Lightweight|Antiskid|Ortho|Heels|Slippers for Women|Fl...,https://www.flipkart.com/doctor-walk-women-lightweight-antiskid-ortho-heels-slippers-women-flip-flop-girls-slippers/p/itmf1d5c054447c0?pid=SFFGZ5F5Q59HGSS7&lid=LSTSFFGZ5F5Q59HGSS7SE8PR9&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_2&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's2&fm=organic&iid=en__WHECKNgKOCVzSlNCAn8PFP1aHkdF1Go8MJccarBscRwLgw2lJCOf3M1WZ3rw-CT9_yYE6c7jSZEmoMhlvjNuw%3D%3D&ppt=None&ppn=None&ssid=pknhx46klc0000001747411085531,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/v/u/c/5-women-high-heel-lycra-flip-flops-supex-black-original-imagz23kxffyrfrg.jpeg?q=70,Hot Deal,₹248,₹699,64% off
Women Slides,https://www.flipkart.com/gloglamp-women-slides/p/itmd55ee2bf4d0c9?pid=SFFH2FHGYXBGUAJ9&lid=LSTSFFH2FHGYXBGUAJ94R7E2N&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_4&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's2&fm=organic&iid=d2bbc1f0-b759-414d-879b-4ed5eb3d0c54.SFFH2FHGYXBGUAJ9.SEARCH&ppt=None&ppn=None&ssid=pknhx46klc0000001747411085531,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/i/g/y/9-124-ashuman-black-original-imah77hnx6ac95gv.jpeg?q=70,Hot Deal,₹200,₹999,79% off
Women Flip Flops,https://www.flipkart.com/layasa-women-flip-flops/p/itm8095ea41f202c?pid=SFFH32UFDZHCFSHF&lid=LSTSFFH32UFDZHCFSHFWZ5LX5&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_5&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's2&fm=organic&iid=d2bbc1f0-b759-414d-879b-4ed5eb3d0c54.SFFH32UFDZHCFSHF.SEARCH&ppt=None&ppn=None&ssid=pknhx46klc0000001747411085531,https://rukminim2.flixcart.com/image/612/612/l5ld8y80/slipper-flip-flop/p/v/e/-original-imagg893cf3b7jug.jpeg?q=70,Hot Deal,₹281,₹999,71% off
Women Flip Flops,https://www.flipkart.com/two-soft-women-flip-flops/p/itm49878f159187a?pid=SFFGSTSGYMFVHQGE&lid=LSTSFFGSTSGYMFVHQGEGM7GLF&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_6&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's2&fm=organic&iid=en__WHECKNgKOCVzSlNCAn8PFP1aHkdF1Go8MJccarBscRTIkCFRvVQtF2AWPyEgTIzvz9JqgrgAg475EukRh6OYg%3D%3D&ppt=None&ppn=None&ssid=pknhx46klc0000001747411085531,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/b/g/3/6-dhss-211-luxe-cream-doctor-health-super-soft-cream-original-imahayyvnzgbc5rw.jpeg?q=70,Hot Deal,₹495,₹999,50% off
Women Slides,https://www.flipkart.com/mast-harbour-women-slides/p/itm100e961b18500?pid=SFFH8D2QDHW37HZQ&lid=LSTSFFH8D2QDHW37HZQALCFNB&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_7&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's2&fm=organic&iid=d2bbc1f0-b759-414d-879b-4ed5eb3d0c54.SFFH8D2QDHW37HZQ.SEARCH&ppt=None&ppn=None&ssid=pknhx46klc0000001747411085531,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/r/b/7/8-on145-ashuman-black-original-imahc4kr6f5zhzbv.jpeg?q=70,Hot Deal,₹231,₹599,61% off
Women Flip Flops,https://www.flipkart.com/lnt-fashion-women-flip-flops/p/itmc5099b5c7b0f9?pid=SFFH5C293YAMHZ5R&lid=LSTSFFH5C293YAMHZ5RATJRUE&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_8&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's2&fm=organic&iid=d2bbc1f0-b759-414d-879b-4ed5eb3d0c54.SFFH5C293YAMHZ5R.SEARCH&ppt=None&ppn=None&ssid=pknhx46klc0000001747411085531,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-slipper-flip-flop/3/f/t/7-ts-035-pink-two-soft-black-original-imahfy39sjygjrzn.jpeg?q=70,Hot Deal,₹212,₹999,78% off
Womens Comfortable Trendy Cross Patta Slippers Women Sl...,https://www.flipkart.com/str-women-womens-comfortable-trendy-cross-patta-slippers/p/itm1adca92c053de?pid=SFFHF2HRH6NGSZQY&lid=LSTSFFHF2HRH6NGSZQYXWSANZ&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_9&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's2&fm=organic&iid=d2bbc1f0-b759-414d-879b-4ed5eb3d0c54.SFFHF2HRH6NGSZQY.SEARCH&ppt=None&ppn=None&ssid=pknhx46klc0000001747411085531,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-slipper-flip-flop/k/m/1/4-ps-017-blk-two-soft-black-original-imahyq57cxqhzqa3.jpeg?q=70,Only few left,₹186,₹899,79% off
Women/Girls stylish Ortho slippers Indoor Outdoor Soft ...,https://www.flipkart.com/ashuman-women-women-girls-stylish-ortho-slippers-indoor-outdoor-soft-comfortable/p/itmca2f62fd9266e?pid=SFFGY99GXHATUPFK&lid=LSTSFFGY99GXHATUPFKOBTPAX&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_12&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's2&fm=organic&iid=en__WHECKNgKOCVzSlNCAn8PFP1aHkdF1Go8MJccarBscTHIAZvc_qxMywXQjgUSw4MisfdZtJaQTbJHR785XGvZg%3D%3D&ppt=None&ppn=None&ssid=pknhx46klc0000001747411085531,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/w/m/m/7-dw-030-doctor-walk-black-original-imahfh2eqtf5tzgk.jpeg?q=70,Hot Deal,₹250,₹699,64% off
