Product Name,Product Link,Image URL,Deal,Price,Original Price,Discount
"Women sports shoes,Running shoes,Trekking Shoes,gym sho...",https://www.flipkart.com/vokline-women-sports-shoes-running-shoes-trekking-shoes-gym-shoes-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKG5MMHGVC7&lid=LSTSHOGBSKG5MMHGVC7WFD6HM&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_1&otracker=nmenu_sub_Women_0_Sports%20Shoes2&fm=organic&iid=en_IrfK_t7GPWJkEDtTQvQDFmNuqJkbBaMNqK_WESMi9WQVxyupejmBO8f3HlLbY1Ei21sdRthGp5VjucAaBeqLPA%3D%3D&ppt=None&ppn=None&ssid=dgxdqxpfcw0000001747406474073,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/o/4/i/8-01326-snker-shozie-white-pink-black-original-imaggwt7acdy4khw.jpeg?q=70,"Buy 2 items, save extra 5%",₹470,₹999,52% off
Trendy Sports Running Shoes For Women,https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm814059bda311c?pid=SHOH5GCYGUFMGHSM&lid=LSTSHOH5GCYGUFMGHSM7PUWPP&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_2&otracker=nmenu_sub_Women_0_Sports%20Shoes2&fm=organic&iid=en_IrfK_t7GPWJkEDtTQvQDFmNuqJkbBaMNqK_WESMi9WSkifMjUHb8nbIe7E8xFj1K0r58HoTUDjyx4z7KjnrhYw%3D%3D&ppt=None&ppn=None&ssid=dgxdqxpfcw0000001747406474073,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/a/m/x/6-rosy-1-navy-blue-6-vokline-navy-blue-original-imah4myf8gnzrjf2.jpeg?q=70,Only few left,₹378,₹999,62% off
Girls Stylish & Comfortable | Casual | Party Wear Walki...,https://www.flipkart.com/rindas-girls-stylish-comfortable-casual-party-wear-walking-shoes-women/p/itm5b0c80db531cb?pid=SHOGC4RFZ883XD8Q&lid=LSTSHOGC4RFZ883XD8QKDTXSV&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_4&otracker=nmenu_sub_Women_0_Sports%20Shoes2&fm=organic&iid=4b107f68-de5a-4137-992e-5d91c01c8cdb.SHOGC4RFZ883XD8Q.SEARCH&ppt=None&ppn=None&ssid=dgxdqxpfcw0000001747406474073,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/h/v/1/8-black-rose-poddar-black-original-imah5brwgruqwmuv.jpeg?q=70,"Buy 2 items, save extra ₹30",₹417,₹999,58% off
"Lightweight,Comfortable,Durable,Running,Casual Walking ...",https://www.flipkart.com/rowlans-lightweight-comfortable-durable-running-casual-walking-shoes-women/p/itmcd5f14bf767ff?pid=SHOH9YF6EMHNMYQB&lid=LSTSHOH9YF6EMHNMYQBHFWCJW&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_7&otracker=nmenu_sub_Women_0_Sports%20Shoes2&fm=organic&iid=4b107f68-de5a-4137-992e-5d91c01c8cdb.SHOH9YF6EMHNMYQB.SEARCH&ppt=None&ppn=None&ssid=dgxdqxpfcw0000001747406474073,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/a/p/l/5-rd570-5-roadster-pink-original-imah52y6fkrzudtn.jpeg?q=70,Hot Deal,₹799,"₹3,995",80% off
BURG-06 Training & Gym Shoes For Women,https://www.flipkart.com/crab-shoes-burg-06-training-gym-women/p/itm7a58195ab2042?pid=SHOFZA57ZRZSYDWV&lid=LSTSHOFZA57ZRZSYDWV5YBVG4&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_8&otracker=nmenu_sub_Women_0_Sports%20Shoes2&fm=organic&iid=4b107f68-de5a-4137-992e-5d91c01c8cdb.SHOFZA57ZRZSYDWV.SEARCH&ppt=None&ppn=None&ssid=dgxdqxpfcw0000001747406474073,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/s/v/k/10-bbmg8256-10-bacca-bucci-black-original-imah3ytyhgyknhhd.jpeg?q=70,Hot Deal,"₹1,699","₹3,499",51% off
Walking Shoes For Women,https://www.flipkart.com/vokline-walking-shoes-women/p/itmbe07395df9ca1?pid=SHOGKRMTPMVHX4EA&lid=LSTSHOGKRMTPMVHX4EAJMMBJZ&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_12&otracker=nmenu_sub_Women_0_Sports%20Shoes2&fm=organic&iid=en_IrfK_t7GPWJkEDtTQvQDFmNuqJkbBaMNqK_WESMi9WTIkSB0KjIMO_3vtLY0d4JYZvs9FxTzk7FtpV3V0kk4rQ%3D%3D&ppt=None&ppn=None&ssid=dgxdqxpfcw0000001747406474073,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/1/e/x/-original-imagugv4sdfaztam.jpeg?q=70,Only few left,₹751,"₹1,299",42% off
Alia Blue Peach Outdoors For Women,https://www.flipkart.com/zuvic-alia-blue-peach-outdoors-women/p/itm934d1a1fd767f?pid=SHOHBVZPVFABZN8G&lid=LSTSHOHBVZPVFABZN8GM8WKXY&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_15&otracker=nmenu_sub_Women_0_Sports%20Shoes2&fm=organic&iid=4b107f68-de5a-4137-992e-5d91c01c8cdb.SHOHBVZPVFABZN8G.SEARCH&ppt=None&ppn=None&ssid=dgxdqxpfcw0000001747406474073,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/q/j/7/4-girlshoe1479-4-kraasa-peach-original-imah53ukauzj8uxd.jpeg?q=70,Hot Deal,₹491,"₹1,999",75% off
"LSS-308 Running Shoes,Sports Shoes,Walking Lightweight ...",https://www.flipkart.com/aqualite-lss-308-running-shoes-sports-shoes-walking-lightweight-shoes-women-outdoors/p/itm37e91fa0ec181?pid=SHOH3QYTV2CAZ7D8&lid=LSTSHOH3QYTV2CAZ7D8EFDOZQ&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_17&otracker=nmenu_sub_Women_0_Sports%20Shoes2&fm=organic&iid=en_IrfK_t7GPWJkEDtTQvQDFmNuqJkbBaMNqK_WESMi9WQpE8GuMFbLUFmhCb94syYn3Tf8_JCRSRc9Okd-CTNzjPKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=dgxdqxpfcw0000001747406474073,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/i/z/2/-original-imah2c4fkr9ww8f9.jpeg?q=70,"Buy 2 items, save extra 5%",₹769,"₹1,099",30% off
Trendy Sports Running Shoes For Women,https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm37c375a7967d6?pid=SHOH6J4DCMKZBYWZ&lid=LSTSHOH6J4DCMKZBYWZAFZOJ4&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_18&otracker=nmenu_sub_Women_0_Sports%20Shoes2&fm=organic&iid=en_IrfK_t7GPWJkEDtTQvQDFmNuqJkbBaMNqK_WESMi9WT8kEEzByNfblZTuOolojHT-qBqYGYZ3uAyUvjcl3XHWA%3D%3D&ppt=None&ppn=None&ssid=dgxdqxpfcw0000001747406474073,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/s/p/6/5-firefly-04-5-asian-white-pink-original-imah3nxx9uhy8xca.jpeg?q=70,Hot Deal,₹833,"₹1,499",44% off
Walking Shoes For Women,https://www.flipkart.com/vokline-walking-shoes-women/p/itme148a73711343?pid=SHOGBSKNR3JYWHA3&lid=LSTSHOGBSKNR3JYWHA3WW0AXS&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_21&otracker=nmenu_sub_Women_0_Sports%20Shoes2&fm=organic&iid=en_IrfK_t7GPWJkEDtTQvQDFmNuqJkbBaMNqK_WESMi9WS_E0zs7uosld7YUyWFj7Y92aScapO2jg8L5Dnpun5l6Q%3D%3D&ppt=None&ppn=None&ssid=dgxdqxpfcw0000001747406474073,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/h/q/d/7-cutecgrypeach-7-asian-peach-original-imah3pt7ynzpztwy.jpeg?q=70,"Buy 2 items, save extra 5%",₹675,₹799,15% off
